"cdabr","vap","pvap","n"
"66311","10","0,35","44"
"66311","0","00,00","80"
"66311","1","0,03","14"
"66311","0","00,00","21"
"66311","0","00,00","16"
"66311","1","0,03","27"
"62022","29","2,04","12"
"62022","529","37,25","13"
"62022","0","00,00","14"
"62022","53","3,73","15"
"62022","0","00,00","16"
"62022","0","00,00","80"
"62022","803","56,55","22"
"62022","0","00,00","27"
"62022","1","0,07","30"
"62022","3","0,21","44"
"62022","2","0,14","21"
"66494","5736","57,76","22"
"66494","3389","34,13","13"
"66494","538","5,42","15"
"66494","162","1,63","12"
"66494","29","0,29","30"
"66494","53","0,53","44"
"66494","5","0,05","80"
"66494","10","0,10","14"
"66494","6","0,06","21"
"66494","2","0,02","16"
"66494","1","0,01","27"
"66559","1502","51,67","22"
"66559","1240","42,66","13"
"66559","115","3,96","15"
"66559","20","0,69","12"
"66559","8","0,28","30"
"66559","21","0,72","44"
"66559","0","00,00","80"
"66559","0","00,00","14"
"66559","0","00,00","21"
"66559","0","00,00","16"
"66559","1","0,03","27"
"66591","919","49,44","22"
"66591","865","46,53","13"
"66591","47","2,53","15"
"66591","21","1,13","12"
"66591","3","0,16","30"
"66591","2","0,11","44"
"66591","1","0,05","80"
"66591","0","00,00","14"
"66591","0","00,00","21"
"66591","0","00,00","16"
"66591","1","0,05","27"
"66753","800","35,84","22"
"66753","1305","58,47","13"
"66753","76","3,41","15"
"66753","41","1,84","12"
"66753","0","00,00","30"
"66753","5","0,22","44"
"66753","0","00,00","80"
"66753","1","0,04","14"
"66753","3","0,13","21"
"66753","1","0,04","16"
"66753","0","00,00","27"
"66770","4833","58,31","22"
"66770","2943","35,50","13"
"66770","315","3,80","15"
"66770","148","1,79","12"
"66770","19","0,23","30"
"66770","24","0,29","44"
"66770","2","0,02","80"
"66770","2","0,02","14"
"66770","2","0,02","21"
"66770","1","0,01","16"
"66770","0","00,00","27"
"66796","1195","52,27","22"
"66796","930","40,68","13"
"66796","97","4,24","15"
"66796","47","2,06","12"
